ROUTE,STOPS,MODE,TYPE,NAME,NOTES
STOP,ZONE,TIMEPT,STNAME
1,3,LOCAL_BUS,5,SEN1,
1,21210,0,
2,15840,0,
3,21210,0,
2,3,LOCAL_BUS,5,EVA2,
4,23330,0,
5,21320,0,
6,23330,0,
3,3,LOCAL_BUS,5,SEN3,
7,21420,0,
5,21320,0,
8,21420,0,
4,3,LOCAL_BUS,5,SEN4,
9,21730,0,
5,21320,0,
10,21730,0,
5,3,LOCAL_BUS,5,EVA5,
11,21600,0,
5,21320,0,
12,21600,0,
6,3,LOCAL_BUS,5,SEN6,
13,21480,0,
14,21310,0,
15,21480,0,
7,3,LOCAL_BUS,5,EVA7,
16,23040,0,
17,21310,0,
18,23040,0,
8,3,LOCAL_BUS,5,EVA8,
19,22770,0,
17,21310,0,
20,22770,0,
9,3,LOCAL_BUS,5,EVA9,
21,21770,0,
14,21310,0,
22,21800,0,
10,3,LOCAL_BUS,5,EVA10,
23,21260,0,
17,21310,0,
24,21130,0,
11,3,LOCAL_BUS,5,EVA11,
25,23270,0,
26,21300,0,
27,23420,0,
13,3,LOCAL_BUS,5,EVA13,
28,21030,0,
17,21310,0,
29,21030,0,
14,3,LOCAL_BUS,5,EVA14,
30,21910,0,
14,21310,0,
31,21910,0,
15,3,LOCAL_BUS,5,EVA15,
32,23210,0,
17,21310,0,
33,23210,0,
20,2,INTERCITY,6,NSEN2,
34,21300,0,
35,601,0,
21,2,INTERCITY,6,BRSEN2,
36,21320,0,
37,83,0,
42,3,LOCAL_BUS,5,W2R,
38,15030,0,
39,15522,0,
40,23340,0,
45,3,LOCAL_BUS,5,W3,
41,15250,0,
39,15522,0,
42,15280,0,
47,4,LOCAL_BUS,5,W8,
43,15160,0,
44,15140,0,
39,15522,0,
45,15170,0,
48,3,LOCAL_BUS,5,E1,
46,21970,0,
47,16500,0,
48,21970,0,
50,3,LOCAL_BUS,5,E2,
49,21920,0,
47,16500,0,
50,21920,0,
52,3,LOCAL_BUS,5,E3,
51,21800,0,
47,16500,0,
52,21800,0,
64,2,INTERCITY,6,NSEN2W,
53,15522,0,
35,601,0,
66,2,INTERCITY,6,BRSEN2W,
53,15522,0,
37,83,0,
70,2,INTERCITY,6,NSSEN2E,
54,16490,0,
35,601,0,
72,2,INTERCITY,6,BRSEN2E,
54,16490,0,
37,83,0,
73,3,LOCAL_BUS,5,NO16,
55,22400,0,
56,21300,0,
57,22400,0,
75,3,LOCAL_BUS,5,NO17,
58,22530,0,
17,21310,0,
59,22530,0,
78,2,INTERCITY,6,ALSEN2,
60,21300,0,
37,83,0,
79,3,LOCAL_BUS,5,50ext,
61,16340,0,
47,16500,0,
62,16340,0,
80,3,LOCAL_BUS,5,52EXT,
63,15820,0,
47,16500,0,
64,15830,0,
90,3,LOCAL_BUS,5,McMain,
65,21650,0,
14,21310,0,
66,21680,0,
105,3,LOCAL_BUS,5,Dry,
67,21600,0,
14,21310,0,
68,21600,0,
148,3,LOCAL_BUS,5,jeff,
69,15860,0,
47,16500,0,
70,15860,0,
